SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,"SOXZLDX12A58A7CE52",282493,"Live at the Grand Olympic Auditorium","ARCE0H01187B9AF741",,"Los Angeles CA",,"Rage Against The Machine",0.0,201.56036,9,0.539,140.63,1,0.0,"Kick Out The Jams",2000
2,"SOTNBNN12A6D4F6CC7",160605,"Straight Outta Compton","ARSL5SP1187B9A7AE0",34.05349,"Compton California USA.",-118.24532,"N.W.A.",0.0,168.75057,9,0.445,97.099,4,1.0,"A B***** Is A B***** (Edited)",1989
3,"SOSKUNI12AB0187F12",559004,"Revolutions Per Minute","ARZWK2R1187B98F09F",,"Chicago",,"Rise Against",0.0,218.8273,4,0.355,186.254,4,0.526,"Amber Changing",2003
4,"SOEESQT12A8C13C7D5",161810,"Take One More Chance With Me","ARW4AGO1187FB4F107",33.45081,"Indianola MS",-90.645,"Jazz Gillum",0.0,185.67791,0,0.04,101.41,1,0.0,"Me And My Buddy",0
5,"SONCYFS12A8C14261E",312976,"Kivenkantaja","ARSTH0R1187B98951E",,"",,"Moonsorrow",0.0,356.49261,9,0.764,124.237,4,0.0,"Ukkosenjumalan poika",2001
6,"SOSLFMU12AB018FFEA",681616,"Psycho Drama","ARDOOH01187B991055",,"",,"Ultraviolence",0.0,303.04608,1,0.745,210.47,4,0.418,"Murder Academy",1995
7,"SORJOMF12AB0186F78",644965,"I Need You Now","ARTXEZN1187B9B8190",62.19845,"Sweden",17.55142,"Agnes",0.0,275.06893,7,0.727,124.009,4,0.944,"I Need You Now",0
8,"SOVGBEK12A8C134E04",152247,"Britten: Orchestral Works","ARBH0MS1187FB36311",,"",,"Sir Neville Marriner",0.0,315.27138,4,0.517,100.349,1,0.0,"4 Sea Interludes Op. 33a: Storm",0
9,"SOOKISK12AB0180667",405643,"Issues","ARMBTFC1187FB56343",,"Bakersfield CA",,"Korn",0.0,224.522,7,0.435,94.057,4,1.0,"Hey Daddy",1999
10,"SOBOCAG12A6BD55D56",74586,"Strength & Loyalty","ARUZRFN1187B98AC05",,"Cleveland OH",,"Bone Thugs-N-Harmony / Akon",0.0,286.30159,1,0.529,154.09,4,0.625,"Never Forget Me",2007
11,"SOFSKON12A8C13B3B5",2016,"The Altogether","ARD5K161187B9AC784",51.27562,"Sevenoaks United Kingdom",0.17898,"Orbital",0.0,327.8624,0,0.509,125.975,4,0.794,"Illuminate",2001
12,"SOVZVPT12AB018A59E",590998,"4 Day Tornado","ARMZ4PD1187B9ACBCD",,"",,"20/20",0.0,302.36689,6,1.0,101.229,4,0.634,"It Goes On",0
13,"SOZWDHS12AB0188A33",509285,"Ao Vivo","AR0CWSC1187B9AFE3F",,"",,"Jos\xc3\xa9 Augusto",0.0,284.70812,0,0.106,98.859,4,0.326,"Pecado De Amor",0
14,"SOIKVVS12AB0184063",662558,"Get Ready To Roll","ARDQO721187FB3C6D9",,"",,"Rodney O & Joe Cooley",0.0,172.01587,1,0.035,175.393,4,0.751,"Nutty Block",1991
15,"SOMWLCK12A8C135D69",285631,"Echoes","AR7JBP41187FB3EA8A",,"Los Angeles CA",,"Gene Clark",0.0,168.38485,9,0.327,98.49,1,0.0,"Set You Free This Time",1998
16,"SOHCENZ12A8C13AC85",99987,"Hai Shava","ARH4N0N1187FB3E1F1",,"",,"Malkit Singh",0.0,324.51873,5,0.75,210.305,4,0.561,"Hai Shava",1993
17,"SOVKCDB12A6D4FB2AB",60518,"Love Among The Young","AR9YQN31187FB45B34",39.95227,"Philadelphia PA",-75.16237,"James Darren",0.0,145.00526,5,0.378,141.024,4,1.0,"Hello Young Lovers (LP Version)",0
18,"SOONOZL12A6D4FC475",345570,"Ministry of Sound Presents 100","ARV3IN31187FB4AAAE",,"",,"Till West & DJ Delicious",0.0,153.28608,1,0.087,125.558,4,1.0,"Same Man",2006
19,"SOIHZMH12AB017DF93",441344,"Cinema Do Mar","ARCID1N1187FB51DA0",,"",,"Carlos Nu\xc3\xb1ez",0.0,215.35302,9,0.779,211.327,3,1.0,"Quiero Ir Ao Mar",2005
20,"SOMCCPJ12A8C142B6B",380099,"STRATA","AR4IWYN1187FB47DF6",37.28848,"Campbell CA",-121.94486,"Strata",0.0,377.67791,2,0.656,109.671,5,0.824,"Part One From Triomusic",2004
21,"SOCQJBX12AF72AA6F2",287318,"Essential Igor Stravinsky","ARKCTSM11F4C83C839",,"",,"Igor Stravinsky",0.0,156.70812,11,0.388,147.637,4,0.187,"The Owl and the Pussy-cat",0
22,"SOYCTBG12A8C144341",375715,"Love From&The Rat Pack","ARIFGKC1187B9B04D5",,"Steubenville OH",,"Dean Martin",0.0,165.66812,0,0.301,128.459,5,0.937,"Until You Love Someone",2005
23,"SOGOQGE12AB0182907",624887,"Hitzone 49","ARVG4OK1187B9B6BD3",,"",,"The Killers",0.0,284.3424,4,0.49,151.953,4,0.198,"Spaceman",2008
24,"SONIHLC12AB0187B0C",811387,"Za Solntsem Vsled","ARYFROT1187B9B78C2",,"",,"Butterfly Temple",0.0,100.5971,8,0.246,159.895,5,0.298,"Iskorosten' (instr.)",0
25,"SOWTIDJ12AB018808C",726003,"Il meglio di Gloriana","ARGCY1Y1187B9A4FA5",36.16778,"Nashville TN.",-86.77836,"Gloriana",0.0,179.06893,0,0.437,161.054,4,0.67,"Pulecenella 'e m\xc3\xb2",0
26,"SOLBHCO12AB018769A",460988,"Time Will Tell","ARIN12F1187FB3E92C",30.24216,"PEARLINGTON Mississippi",-89.60586,"Grant Geissman",0.0,320.60036,9,0.802,128.219,4,0.859,"Big Stax/High Volts (Album Version)",0
27,"SOAGHMH12AB0180285",546663,"Maurice Chevalier  The Essential Collection Vol 1","AR1X2H01187B98CCF2",,"Menilmontant France",,"Maurice Chevalier",0.0,193.20118,0,0.371,140.956,7,0.866,"Ma Louise",0
28,"SOOVOKS12AB017EE57",401583,"Le top du p\xc3\xa8re N\xc3\xb6el","AR107SB1187B9A79F9",,"B\xc3\xa9zu comme Superdupont ne connait qu&#039;un pays : la France !",,"B\xc3\xa9zu",0.0,285.64853,8,0.508,126.88,4,0.0,"Le tortillard",0
29,"SOTWEZZ12A8C142B60",475992,"Grim Prospects Remixes - Grim Prospects Will Never End","AR3WMW01187B9921F7",,"",,"Schizoid",0.0,275.40853,9,0.376,102.408,4,0.395,"Grim Prospects (Gross Prospects - Bad Trip Remix)",0
30,"SOFXNQP12AB0184F1A",704183,"The Equinox","AR9ODB41187FB459B2",,"SPRINGFIELD Virginia",,"Organized Konfusion",0.0,198.3473,11,0.306,175.769,4,0.7,"Hate",1997
31,"SOGYYLE12A8C13E5EA",217058,"20 Suosikkia / Rilluttele y\xc3\xb6","ARL6XZC1187FB3936E",,"",,"Solistiyhtye Suomi",0.0,134.08608,4,0.718,133.699,1,0.0,"Ter\xc3\xa4slintu",0
32,"SOIQHDR12AB01896C8",766444,"Spontanous Combustion","AR4PCIG1187B98D07D",36.16778,"Nashville TN",-86.77836,"Ellen McIlwaine",0.0,275.12118,7,0.699,132.428,4,0.281,"Spontanous Combustion",0
33,"SOUVRGZ12A58A77F90",495041,"The Incredible Kai Winding Trombones","AR3C3C01187B98E800",56.153,"Aarhus Denmark",10.20452,"Kai Winding",0.0,223.4771,0,0.0,112.006,4,0.844,"Mangos",1961
34,"SORAVUP12AB018556E",548374,"Dave Pearce Best of the Dance Years 1988 - 1992","ARBQBZV1187B99D29E",,"",,"Carl Cox Vs Yousef",0.0,357.82485,1,0.485,130.016,5,1.0,"I Want You (Forever)",1991
35,"SODLSHA12AAF3B29F2",432406,"From All Sides","AR1RHCO1187B9AF0BF",37.77916,"San Francisco CA",-122.42005,"Vince Guaraldi / Bola Sete",0.0,294.66077,5,0.238,168.307,4,0.0,"Choro",0
36,"SOXVBVL12AF72A600C",341940,"Praise Him...Live!","ARVJ0JK1187B98C9C0",,"",,"The Brooklyn Tabernacle Choir",0.0,324.44036,7,0.558,216.195,5,1.0,"Lead Me Lord",1995
37,"SOBLTSM12A6D4F9EEA",225610,"Staying on the Watch","ARDD9UN1187B98D3A7",31.84666,"Sicily Island LA",-91.657,"Sonny Simmons",0.0,443.24526,1,0.0,45.527,4,0.0,"A Distant Voice",0
38,"SOITUXQ12AB0183AE9",489673,"The Fabulous Eddie Cantor","ARSDSMG1187B98CB59",40.71455,"New York NY",-74.00712,"Eddie Cantor",0.0,155.61098,11,0.599,118.975,1,0.003,"Now's The Time To Fall In Love",0
39,"SOUQVUD12A8C142DCE",473710,"Openbare Weg","ARJGNV61187B98F3B5",,"Tallahassee FL",,"Mira",0.0,177.81506,4,0.695,85.621,4,0.612,"Openbare Weg",2006
40,"SOCRPDR12AB0185B75",710902,"Tip World Singles 2000","ARSVI4L1187B996181",,"",,"Citizen Kaned",0.0,385.33179,8,0.822,108.061,4,1.0,"President Johnson",2000
41,"SORWHWY12A6702038E",8552,"Malpractice","ARXWAQQ1187B9AE954",,"Newark NJ",,"Redman",0.0,124.18567,1,0.074,85.008,5,1.0,"WKYA (drop)",2001
42,"SOCWXYM12AB018BDF3",577462,"Ultimate Happy Hardcore 3","ARHVU591187B99F46A",,"",,"The Nightraver & The Magican",0.0,233.53424,6,0.741,184.981,4,0.32,"Drop the Bass",0
43,"SOVRJYX12AB01844E1",509726,"De Musica Ligera","ARBJSO81187B9BA09B",,"",,"Soda Stereo",0.0,340.29669,7,0.403,91.328,4,0.884,"Terapia De Amor Intensiva",1988
44,"SORKRKK12A8C13C12F",157419,"Miscelanea","ARGNGRI11E2835D567",,"",,"Tam Tam Go!",0.0,226.82077,9,0.51,119.524,4,0.941,"Spanish Shuffle (Album Version)",0
45,"SOSYVIZ12A8C141964",611258,"Dirty Harriet","ARV2V751187FB4330F",40.14323,"New Jersey",-74.72671,"Rah Digga (Featuring Outsidaz)",0.0,256.80934,7,0.638,201.802,3,0.896,"The Last Word (Amended Version)",2000
46,"SOXSUNF12A8C134195",146292,"Virtuous Woman","ARN5W1B1187B98BE10",,"",,"Warrior King",0.0,224.28689,10,0.693,241.877,4,0.947,"Empress So Divine",2002
47,"SOQPPKZ12A58A7B1EC",448373,"500","ARQDYV0119B866800F",,"",,"Gertrudis",0.0,106.52689,9,0.0,97.76,4,0.832,"Intro",2009
48,"SOAESJW12A8C137CC2",206882,"Exclusively","AR3PN3R1187FB4CEBD",18.01571,"Kingston Jamaica",-76.79731,"Horace Andy",0.0,234.44853,10,0.166,102.055,1,0.0,"Musical Episode",2005
49,"SOCLQKJ12AF72A4AB0",556140,"No Regrets","AR02PUA1187FB52574",,"",,"Delta 9",0.0,94.06649,2,0.171,109.636,5,0.935,"Infidel",0
50,"SOHCYVK12AB017BBF2",493266,"Country Masters Vol 1","ARQGYP71187FB44566",34.31109,"Mineola AR",-94.02978,"Jimmy Wakely",0.0,155.95057,2,0.745,109.065,1,0.04,"Beautiful Brown eyes",2001
51,"SOOGRLD12A8C132B2F",287672,"Candy From A Stranger","ARQXR6R1187FB46FD6",,"Minneapolis MN",,"Soul Asylum",0.0,279.2224,11,0.905,68.734,4,0.0,"Lies Of Hate",1998
52,"SODAEVD12AB01886BB",662561,"Music For Christmas Lovers","ARP8TSJ1187FB54852",,"",,"Carl Doy with NZSO",0.0,158.56281,2,0.954,94.658,3,0.653,"The First Noel",0
53,"SOMOHEI12AB018785F",467695,"My Soul Speaks","ARETCTY1187FB4C033",,"",,"LORE",0.0,216.55465,8,0.9,130.062,4,0.281,"Haunting",0
